## mouse.knockout
## Mouse knockout phenotypes from JAX
## hg19, source=gm.jax created=28JUN2011:04:21:45
## PGC bioinformatics, PF Sullivan & Johan Kallberg, Karolinska Institutet, (c) 2016
## Rows: 5 comments, header, 6228 entries. Columns: 6
#chr	bp1	bp2	geneName	musName	phenotype
chr2	209224438	209719227	PTH2R	Pth2r	"no phenotypic analysis"
chr12	28111017	28125638	PTHLH	Pthlh	"adipose tissue;behavior/neurological;cardiovascular system;cellular;craniofacial;digestive/alimentary;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;limbs/digits/tail;mortality/aging;nervous system;renal/urinary system;reproductive system;respiratory system;skeleton;vision/eye"
chr8	141667999	142012315	PTK2	Ptk2	"cardiovascular system;cellular;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;limbs/digits/tail;liver/biliary system;mortality/aging;muscle;nervous system;no phenotypic analysis;reproductive system;respiratory system;tumorigenesis"
chr8	27168999	27316903	PTK2B	Ptk2b	"cardiovascular system;homeostasis/metabolism;immune system;muscle"
chr20	62159778	62168723	PTK6	Ptk6	"digestive/alimentary"
chr6	43044006	43129457	PTK7	Ptk7	"cardiovascular system;embryogenesis;growth/size;hearing/vestibular/ear;limbs/digits/tail;mortality/aging;nervous system;renal/urinary system;respiratory system;skeleton;vision/eye"
chr7	136912088	137028611	PTN	Ptn	"behavior/neurological;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;nervous system;reproductive system"
chr20	49126891	49201299	PTPN1	Ptpn1	"adipose tissue;behavior/neurological;endocrine/exocrine gland;growth/size;homeostasis/metabolism;mortality/aging;skeleton"
chr12	112856155	112947717	PTPN11	Ptpn11	"adipose tissue;cardiovascular system;cellular;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;muscle;nervous system;no phenotypic analysis;normal;pigmentation;reproductive system;respiratory system;skeleton;vision/eye"
chr7	77166592	77269388	PTPN12	Ptpn12	"cardiovascular system;embryogenesis;growth/size;hematopoietic system;immune system;liver/biliary system;mortality/aging;nervous system"
chr4	87515468	87736324	PTPN13	Ptpn13	"cellular;growth/size;hematopoietic system;immune system;nervous system;vision/eye"
chr1	214522039	214725792	PTPN14	Ptpn14	"craniofacial;growth/size;homeostasis/metabolism;immune system;vision/eye"
chr18	12785477	12929642	PTPN2	Ptpn2	"behavior/neurological;digestive/alimentary;growth/size;hematopoietic system;immune system;mortality/aging;vision/eye"
chr1	114356433	114414381	PTPN22	Ptpn22	"growth/size;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;renal/urinary system;respiratory system"
chr3	47422501	47454931	PTPN23	Ptpn23	"embryogenesis;growth/size;mortality/aging"
chr9	112137746	112260590	PTPN3	Ptpn3	"growth/size;immune system;no phenotypic analysis;normal;skeleton"
chr2	120517207	120741394	PTPN4	Ptpn4	"behavior/neurological;immune system;nervous system;no phenotypic analysis"
chr11	18749475	18814268	PTPN5	Ptpn5	"nervous system"
chr12	7055631	7070479	PTPN6	Ptpn6	"cellular;digestive/alimentary;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;limbs/digits/tail;mortality/aging;pigmentation;respiratory system;skeleton"
chr1	202116141	202130716	PTPN7	Ptpn7	"hematopoietic system;normal"
chr15	75759462	75871630	PTPN9	Ptpn9	"behavior/neurological;cardiovascular system;cellular;craniofacial;embryogenesis;growth/size;hematopoietic system;homeostasis/metabolism;immune system;limbs/digits/tail;mortality/aging;nervous system;skeleton"
chr20	2844830	3019722	PTPRA	Ptpra	"behavior/neurological;cellular;growth/size;homeostasis/metabolism;nervous system"
chr12	70910630	71031220	PTPRB	Ptprb	"cardiovascular system;embryogenesis;growth/size;integument;mortality/aging;muscle;no phenotypic analysis"
chr1	198607801	198726545	PTPRC	Ptprc	"digestive/alimentary;growth/size;hematopoietic system;homeostasis/metabolism;immune system;limbs/digits/tail;liver/biliary system;mortality/aging;nervous system;no phenotypic analysis;normal;renal/urinary system;respiratory system;skeleton;tumorigenesis"
chr11	67202981	67205538	PTPRCAP	Ptprcap	"hematopoietic system;immune system;normal"
chr9	8314246	10612723	PTPRD	Ptprd	"adipose tissue;behavior/neurological;growth/size;integument;mortality/aging;muscle;nervous system;respiratory system;skeleton"
chr10	129705325	129884119	PTPRE	Ptpre	"hematopoietic system;immune system;limbs/digits/tail;nervous system;skeleton"
chr1	43990858	44089343	PTPRF	Ptprf	"behavior/neurological;cellular;craniofacial;digestive/alimentary;endocrine/exocrine gland;immune system;integument;mortality/aging;nervous system;renal/urinary system;reproductive system;skeleton;vision/eye"
chr3	61547243	62283288	PTPRG	Ptprg	"behavior/neurological;hearing/vestibular/ear;integument"
chr19	55692616	55720874	PTPRH	Ptprh	"digestive/alimentary;no phenotypic analysis;tumorigenesis"
chr11	48002113	48189670	PTPRJ	Ptprj	"cardiovascular system;craniofacial;embryogenesis;growth/size;hematopoietic system;immune system;liver/biliary system;mortality/aging;muscle;normal;reproductive system;respiratory system;tumorigenesis"
chr18	7566780	8406859	PTPRM	Ptprm	"cardiovascular system;muscle"
chr2	220154345	220174370	PTPRN	Ptprn	"endocrine/exocrine gland;homeostasis/metabolism;immune system"
chr7	157331750	158380480	PTPRN2	Ptprn2	"homeostasis/metabolism"
chr12	15475331	15750333	PTPRO	Ptpro	"behavior/neurological;cardiovascular system;nervous system;renal/urinary system"
chr12	80799774	81072802	PTPRQ	Ptprq	"behavior/neurological;hearing/vestibular/ear;nervous system"
chr12	71031853	71314623	PTPRR	Ptprr	"behavior/neurological;nervous system"
chr19	5158506	5340814	PTPRS	Ptprs	"adipose tissue;behavior/neurological;craniofacial;digestive/alimentary;endocrine/exocrine gland;growth/size;homeostasis/metabolism;integument;mortality/aging;muscle;nervous system;renal/urinary system;reproductive system;respiratory system;skeleton;taste/olfaction;vision/eye"
chr20	40701392	41818610	PTPRT	Ptprt	"homeostasis/metabolism;tumorigenesis"
chr1	202137179	202158583	PTPRVP	Ptprv	"adipose tissue;cellular;endocrine/exocrine gland;growth/size;homeostasis/metabolism;mortality/aging;muscle;normal;skeleton"
chr7	121513143	121702090	PTPRZ1	Ptprz1	"behavior/neurological;immune system;integument;nervous system;normal"
chr17	40554470	40575535	PTRF	Ptrf	"behavior/neurological;cellular;growth/size;homeostasis/metabolism"
chr17	57751997	57784987	PTRH2	Ptrh2	"behavior/neurological;cellular;growth/size;hematopoietic system;immune system;mortality/aging;muscle;normal;renal/urinary system"
chr11	112097088	112140678	PTS	Pts	"behavior/neurological;cardiovascular system;digestive/alimentary;endocrine/exocrine gland;growth/size;homeostasis/metabolism;integument;mortality/aging;muscle;nervous system;pigmentation;reproductive system"
chr5	159848829	159855748	PTTG1	Pttg1	"adipose tissue;behavior/neurological;cellular;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;nervous system;no phenotypic analysis;renal/urinary system;reproductive system"
chr3	157154578	157161417	PTX3	Ptx3	"endocrine/exocrine gland;immune system;reproductive system;respiratory system"
chr1	31404353	31538838	PUM1	Pum1	"no phenotypic analysis"
chr2	20448452	20551995	PUM2	Pum2	"endocrine/exocrine gland;reproductive system"
chr5	139487362	139496321	PURA	Pura	"behavior/neurological;cellular;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;nervous system;respiratory system"
chr22	37196728	37215523	PVALB	Pvalb	"cellular;muscle;nervous system;no phenotypic analysis;normal"
chr19	45147098	45166850	PVR	Pvr	"homeostasis/metabolism;immune system;tumorigenesis"
chr11	119494120	119599794	PVRL1	Pvrl1	"behavior/neurological;craniofacial;growth/size;homeostasis/metabolism;integument;mortality/aging;vision/eye"
chr19	45349432	45392485	PVRL2	Pvrl2	"endocrine/exocrine gland;reproductive system"
chr3	110788918	110994410	PVRL3	Pvrl3	"behavior/neurological;craniofacial;homeostasis/metabolism;integument;mortality/aging;reproductive system;vision/eye"
chr8	128806779	129113499	PVT1	Pvt1	"no phenotypic analysis"
chr12	133264192	133297276	PXMP2	Pxmp2	"endocrine/exocrine gland;homeostasis/metabolism;integument;liver/biliary system;renal/urinary system;reproductive system"
chr12	120648250	120703574	PXN	Pxn	"cardiovascular system;cellular;digestive/alimentary;embryogenesis;growth/size;mortality/aging"
chr16	31212806	31214771	PYCARD	Pycard	"hematopoietic system;homeostasis/metabolism;immune system;normal"
chr15	55831088	55881145	PYGO1	Pygo1	"growth/size;mortality/aging;nervous system;normal;renal/urinary system;vision/eye"
chr1	154929502	154936329	PYGO2	Pygo2	"craniofacial;digestive/alimentary;endocrine/exocrine gland;growth/size;integument;mortality/aging;nervous system;renal/urinary system;reproductive system;respiratory system;skeleton;vision/eye"
chr17	42030106	42081837	PYY	Pyy	"adipose tissue;behavior/neurological;growth/size;homeostasis/metabolism;nervous system;normal;skeleton"
chr12	9301436	9360966	PZP	Pzp	"behavior/neurological;cardiovascular system;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;normal;reproductive system;respiratory system;skeleton;tumorigenesis"
chr4	17461884	17513857	QDPR	Qdpr	"skeleton"
chr6	163835032	163999628	QKI	Qk	"behavior/neurological;cardiovascular system;embryogenesis;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;limbs/digits/tail;mortality/aging;nervous system;reproductive system"
chr2	37571717	37600465	QPCT	Qpct	"behavior/neurological;nervous system;other"
chr4	122250467	122302214	QRFPR	Qrfpr	"skeleton"
chr6	57053607	57087078	RAB23	Rab23	"embryogenesis;integument;limbs/digits/tail;mortality/aging;nervous system;skeleton;vision/eye"
chr1	156030951	156040295	RAB25	Rab25	"digestive/alimentary;reproductive system;tumorigenesis"
chr15	55495164	55611311	RAB27A	Rab27a	"cellular;endocrine/exocrine gland;hematopoietic system;homeostasis/metabolism;immune system;integument;nervous system;pigmentation;reproductive system;vision/eye"
chr18	52385091	52562747	RAB27B	Rab27b	"endocrine/exocrine gland;hematopoietic system;homeostasis/metabolism;integument;nervous system;no phenotypic analysis;normal;pigmentation;reproductive system"
chr11	87846410	87908635	RAB38	Rab38	"hematopoietic system;integument;pigmentation;vision/eye"
chr19	18307594	18314884	RAB3A	Rab3a	"behavior/neurological;growth/size;homeostasis/metabolism;mortality/aging;nervous system;normal;respiratory system"
chr1	52373628	52456436	RAB3B	Rab3b	"behavior/neurological;growth/size;homeostasis/metabolism;mortality/aging;nervous system;normal;respiratory system"
chr5	57878048	58155213	RAB3C	Rab3c	"behavior/neurological;growth/size;homeostasis/metabolism;mortality/aging;nervous system;normal;respiratory system"
chr19	11432722	11456946	RAB3D	Rab3d	"behavior/neurological;growth/size;homeostasis/metabolism;mortality/aging;nervous system;normal;respiratory system"
chr2	135809835	135933964	RAB3GAP1	Rab3gap1	"nervous system"
chr12	70132461	70216984	RAB3IP	Rab3ip	"normal"
chr3	133543083	133614680	RAB6B	Rab6b	"adipose tissue;behavior/neurological;growth/size;immune system"
chr19	16222439	16245044	RAB8A	Rab8a	"cellular;digestive/alimentary;growth/size;mortality/aging;renal/urinary system"
chrX	13707244	13728625	RAB9A	Rab9	"normal"
chr1	174128548	174964445	RABGAP1L	Rabgap1l	"normal"
chr7	66147151	66276451	RABGEF1	Rabgef1	"hematopoietic system;homeostasis/metabolism;immune system;integument;mortality/aging"
chr14	24734744	24740945	RABGGTA	Rabggta	"hematopoietic system;homeostasis/metabolism;immune system;integument;mortality/aging;pigmentation;reproductive system"
chr7	6414154	6443608	RAC1	Rac1	"cardiovascular system;cellular;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;limbs/digits/tail;mortality/aging;muscle;nervous system;pigmentation;reproductive system"
chr22	37621301	37640488	RAC2	Rac2	"cardiovascular system;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging"
chr17	79989500	79992080	RAC3	Rac3	"behavior/neurological;hematopoietic system;integument;mortality/aging;nervous system;tumorigenesis"
chr12	50370706	50426919	RACGAP1	Racgap1	"embryogenesis;hematopoietic system;immune system;mortality/aging"
chr5	34905369	34919094	RAD1	Rad1	"immune system"
chr5	68665120	68710628	RAD17	Rad17	"cardiovascular system;craniofacial;embryogenesis;liver/biliary system;mortality/aging;nervous system"
chr3	8817088	9005457	RAD18	Rad18	"endocrine/exocrine gland;homeostasis/metabolism;reproductive system"
chr8	117858174	117887105	RAD21	Rad21	"mortality/aging;reproductive system"
chr19	13056669	13064456	RAD23A	Rad23a	"mortality/aging;normal"
chr9	110045418	110094475	RAD23B	Rad23b	"adipose tissue;behavior/neurological;cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;homeostasis/metabolism;immune system;integument;mortality/aging;normal;reproductive system;vision/eye"
chr5	131891711	131980313	RAD50	Rad50	"behavior/neurological;cellular;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;immune system;liver/biliary system;mortality/aging;nervous system;reproductive system;respiratory system;tumorigenesis"
chr15	40986972	41024354	RAD51	Rad51	"cellular;embryogenesis;growth/size;mortality/aging"
chr17	56769934	56811703	RAD51C	Rad51c	"embryogenesis;endocrine/exocrine gland;growth/size;mortality/aging;reproductive system"
chr12	1021243	1099219	RAD52	Rad52	"cellular;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;reproductive system;tumorigenesis"
chr8	95384188	95487337	RAD54B	Rad54b	"cellular;hematopoietic system;homeostasis/metabolism;mortality/aging"
chr1	46713360	46744145	RAD54L	Rad54l	"cellular;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging"
chr3	51575160	51702683	RAD54L2	Rad54l2	"cellular;embryogenesis;growth/size;mortality/aging;nervous system"
chr11	67159176	67165881	RAD9A	Rad9	"cellular;embryogenesis;homeostasis/metabolism;integument;mortality/aging;pigmentation;tumorigenesis"
chr12	110939460	110969891	RAD9B	Rad9b	"cellular;embryogenesis;growth/size;mortality/aging;nervous system"
chr20	55926066	55954267	RAE1	Rae1	"adipose tissue;cellular;embryogenesis;growth/size;homeostasis/metabolism;integument;mortality/aging;muscle;skeleton;tumorigenesis;vision/eye"
chr3	12625100	12705725	RAF1	Raf1	"cardiovascular system;cellular;embryogenesis;growth/size;hematopoietic system;integument;liver/biliary system;mortality/aging;muscle;nervous system;normal;respiratory system;vision/eye"
chr11	36532259	36614706	RAG1	Rag1	"behavior/neurological;cardiovascular system;cellular;digestive/alimentary;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;nervous system;normal;pigmentation;renal/urinary system;respiratory system;skeleton;tumorigenesis;vision/eye"
chr11	36597124	36619829	RAG2	Rag2	"behavior/neurological;cardiovascular system;cellular;digestive/alimentary;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;normal;reproductive system;respiratory system;skeleton;tumorigenesis"
chr17	17584787	17714767	RAI1	Rai1	"adipose tissue;behavior/neurological;craniofacial;growth/size;homeostasis/metabolism;limbs/digits/tail;mortality/aging;nervous system;respiratory system;skeleton"
chr18	9475007	9538114	RALBP1	Ralbp1	"cellular;mortality/aging"
chr9	135973107	136039301	RALGDS	Ralgds	"tumorigenesis"
chr20	32581452	32696114	RALY	Raly	"normal;tumorigenesis"
chr2	238767536	238820756	RAMP1	Ramp1	"cardiovascular system;homeostasis/metabolism;immune system;muscle;no phenotypic analysis"
chr17	40910465	40915059	RAMP2	Ramp2	"cardiovascular system;embryogenesis;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;muscle;nervous system;no phenotypic analysis;reproductive system"
chr7	45197390	45225901	RAMP3	Ramp3	"growth/size"
chr2	109335937	109402267	RANBP2	Ranbp2	"cellular;growth/size;homeostasis/metabolism;mortality/aging;nervous system;tumorigenesis;vision/eye"
chr22	41641615	41682255	RANGAP1	Rangap1	"embryogenesis;growth/size;mortality/aging"
chr1	112084840	112259313	RAP1A	Rap1a	"behavior/neurological;cardiovascular system;hematopoietic system;immune system;mortality/aging;nervous system"
chr12	69004619	69054372	RAP1B	Rap1b	"behavior/neurological;cardiovascular system;growth/size;hematopoietic system;homeostasis/metabolism;mortality/aging;nervous system;reproductive system"
chr9	134452157	134615461	RAPGEF1	Rapgef1	"cardiovascular system;cellular;embryogenesis;homeostasis/metabolism;mortality/aging;muscle;nervous system"
chr4	160025330	160281321	RAPGEF2	Rapgef2	"cardiovascular system;cellular;digestive/alimentary;embryogenesis;growth/size;hematopoietic system;immune system;integument;liver/biliary system;mortality/aging;nervous system;no phenotypic analysis"
chr2	173600002	173917621	RAPGEF4	Rapgef4	"endocrine/exocrine gland;homeostasis/metabolism"
chr5	130759614	130970929	RAPGEF6	Rapgef6	"cellular;hematopoietic system;immune system;no phenotypic analysis"
chr11	47459308	47470730	RAPSN	Rapsn	"mortality/aging;muscle;nervous system;respiratory system"
chr17	38465444	38513094	RARA	Rara	"cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;hematopoietic system;immune system;limbs/digits/tail;liver/biliary system;mortality/aging;muscle;nervous system;normal;other;renal/urinary system;reproductive system;respiratory system;skeleton;tumorigenesis;vision/eye"
chr3	25215823	25639423	RARB	Rarb	"behavior/neurological;cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;hematopoietic system;immune system;limbs/digits/tail;mortality/aging;muscle;nervous system;normal;other;renal/urinary system;reproductive system;respiratory system;skeleton;vision/eye"
chr12	53604354	53626764	RARG	Rarg	"cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;integument;mortality/aging;nervous system;normal;other;renal/urinary system;reproductive system;respiratory system;skeleton;vision/eye"
chr5	86563705	86687748	RASA1	Rasa1	"cardiovascular system;cellular;craniofacial;embryogenesis;growth/size;hearing/vestibular/ear;limbs/digits/tail;mortality/aging;nervous system;no phenotypic analysis"
chr13	114747194	114898086	RASA3	Rasa3	"cardiovascular system;embryogenesis;homeostasis/metabolism;mortality/aging"
chr7	102220093	102257204	RASA4	Rasa4	"immune system"
chr17	17397751	17399709	RASD1	Rasd1	"behavior/neurological"
chr22	35936915	35950048	RASD2	Rasd2	"behavior/neurological;growth/size"
chr15	79252289	79383115	RASGRF1	Rasgrf1	"adipose tissue;behavior/neurological;cellular;endocrine/exocrine gland;growth/size;homeostasis/metabolism;nervous system;no phenotypic analysis;normal"
chr5	80256491	80525975	RASGRF2	Rasgrf2	"growth/size;hematopoietic system;homeostasis/metabolism;immune system;nervous system;reproductive system"
chr15	38780304	38857776	RASGRP1	Rasgrp1	"hematopoietic system;immune system;liver/biliary system;renal/urinary system"
chr11	64494383	64512928	RASGRP2	Rasgrp2	"hematopoietic system;homeostasis/metabolism"
chr2	33661391	33789817	RASGRP3	Rasgrp3	"hematopoietic system;immune system;normal"
chr3	50367219	50378411	RASSF1	Rassf1	"cardiovascular system;cellular;homeostasis/metabolism;immune system;mortality/aging;normal;tumorigenesis"
chr1	206680879	206762616	RASSF5	Rassf5	"cellular;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;renal/urinary system;tumorigenesis"
chr19	10426888	10444316	RAVER1	Raver1	"cellular;nervous system"
chr18	56934267	56941318	RAX	Rax	"behavior/neurological;craniofacial;digestive/alimentary;embryogenesis;mortality/aging;nervous system;normal;vision/eye"
chr13	48877887	49056122	RB1	Rb1	"adipose tissue;behavior/neurological;cardiovascular system;cellular;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;integument;limbs/digits/tail;liver/biliary system;mortality/aging;muscle;nervous system;no phenotypic analysis;normal;pigmentation;reproductive system;respiratory system;skeleton;tumorigenesis;vision/eye"
chr8	53535016	53658403	RB1CC1	Rb1cc1	"cardiovascular system;cellular;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;muscle;no phenotypic analysis;normal"
chr16	24549014	24584184	RBBP6	Rbbp6	"cellular;embryogenesis;growth/size;mortality/aging"
chrX	16857406	16888537	RBBP7	Rbbp7	"embryogenesis"
chr18	20378224	20606451	RBBP8	Rbbp8	"cellular;embryogenesis;mortality/aging;tumorigenesis"
chr16	6069095	7763340	RBFOX1	Rbfox1	"no phenotypic analysis"
chr22	36134783	36424473	RBFOX2	Rbfox2	"no phenotypic analysis"
chr20	35624752	35724398	RBL1	Rbl1	"adipose tissue;behavior/neurological;cardiovascular system;cellular;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;limbs/digits/tail;liver/biliary system;mortality/aging;muscle;nervous system;no phenotypic analysis;normal;reproductive system;respiratory system;skeleton;tumorigenesis;vision/eye"
chr16	53467889	53525561	RBL2	Rbl2	"cardiovascular system;cellular;craniofacial;embryogenesis;endocrine/exocrine gland;growth/size;homeostasis/metabolism;integument;limbs/digits/tail;mortality/aging;muscle;nervous system;no phenotypic analysis;normal;reproductive system;respiratory system;skeleton;tumorigenesis;vision/eye"
chrX	47004268	47046212	RBM10	Rbm10	"normal"
chr1	110881128	110889299	RBM15	Rbm15	"hematopoietic system;immune system;mortality/aging"
chr12	114254543	114404176	RBM19	Rbm19	"cellular;embryogenesis;mortality/aging"
chrX	48432837	48437454	RBM3	Rbm3	"embryogenesis"
chr20	34291531	34330234	RBM39	Rbm39	"mortality/aging"
chrX	106307650	106362057	RBM41	Rbm41	"normal"
chr2	161128662	161350305	RBMS1	Rbms1	"embryogenesis;growth/size;homeostasis/metabolism;mortality/aging;reproductive system"
chr3	139236276	139258671	RBP1	Rbp1	"endocrine/exocrine gland;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;nervous system;pigmentation;reproductive system;vision/eye"
chr3	139171726	139199589	RBP2	Rbp2	"digestive/alimentary;homeostasis/metabolism;other"
chr10	48381487	48390991	RBP3	Rbp3	"nervous system;vision/eye"
chr10	95351444	95361501	RBP4	Rbp4	"cardiovascular system;endocrine/exocrine gland;homeostasis/metabolism;muscle;normal;reproductive system;vision/eye"
chr1	10057264	10076078	RBP7	Rbp7	"homeostasis/metabolism"
chr4	26165077	26436541	RBPJ	Rbpj	"behavior/neurological;cardiovascular system;cellular;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;mortality/aging;muscle;nervous system;pigmentation;renal/urinary system;reproductive system;respiratory system;tumorigenesis"
chr20	43935491	43945803	RBPJL	Rbpjl	"normal"
chr22	41347351	41369313	RBX1	Rbx1	"cellular;embryogenesis;growth/size;mortality/aging"
chr1	173900352	173991435	RC3H1	Rc3h1	"hematopoietic system;immune system;liver/biliary system;renal/urinary system"
chr21	35885440	35987441	RCAN1	Rcan1	"behavior/neurological;cardiovascular system;cellular;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;reproductive system;tumorigenesis"
chr6	46188475	46459709	RCAN2	Rcan2	"adipose tissue;behavior/neurological;cardiovascular system;growth/size;hematopoietic system;homeostasis/metabolism;immune system;limbs/digits/tail;liver/biliary system;skeleton"
chr11	66610306	66614017	RCE1	Rce1	"behavior/neurological;cardiovascular system;growth/size;homeostasis/metabolism;integument;liver/biliary system;mortality/aging;muscle"
chr17	9799637	9808938	RCVRN	Rcvrn	"vision/eye"
chr1	211649864	211666259	RD3	Rd3	"nervous system;vision/eye"
chr8	74206847	74237516	RDH10	Rdh10	"cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;hearing/vestibular/ear;limbs/digits/tail;liver/biliary system;mortality/aging;nervous system;renal/urinary system;reproductive system;respiratory system;skeleton;vision/eye"
chr14	68143518	68162531	RDH11	Rdh11	"reproductive system;vision/eye"
chr14	68168603	68201169	RDH12	Rdh12	"nervous system;vision/eye"
chr12	57345219	57353158	RDH16	Rdh1	"adipose tissue;embryogenesis;growth/size;homeostasis/metabolism;liver/biliary system;renal/urinary system"
chr12	56114151	56118489	RDH5	Rdh5	"vision/eye"
chr19	10123925	10132955	RDH8	Rdh8	"cardiovascular system;nervous system;pigmentation;vision/eye"
chr11	110045605	110167447	RDX	Rdx	"behavior/neurological;hearing/vestibular/ear;homeostasis/metabolism;liver/biliary system;nervous system"
chr14	24641062	24649463	REC8	Rec8	"endocrine/exocrine gland;growth/size;mortality/aging;reproductive system"
chr9	36036430	36124448	RECK	Reck	"cardiovascular system;embryogenesis;growth/size;integument;liver/biliary system;mortality/aging;nervous system;other"
chr12	21621845	21654603	RECQL	Recql	"cellular"
chr8	145736667	145743229	RECQL4	Recql4	"cellular;craniofacial;digestive/alimentary;embryogenesis;growth/size;hematopoietic system;immune system;integument;limbs/digits/tail;mortality/aging;pigmentation;skeleton;tumorigenesis;vision/eye"
chr17	73622925	73663269	RECQL5	Recql5	"cellular;no phenotypic analysis"
chr2	79347488	79350545	REG1A	Reg1	"endocrine/exocrine gland;homeostasis/metabolism;reproductive system"
chr2	79312156	79315145	REG1B	Reg2	"behavior/neurological;cellular;homeostasis/metabolism;liver/biliary system;mortality/aging;nervous system"
chr2	61108656	61158745	REL	Rel	"cardiovascular system;cellular;digestive/alimentary;embryogenesis;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;nervous system;respiratory system;skeleton"
chr11	65421067	65430565	RELA	Rela	"cardiovascular system;cellular;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;limbs/digits/tail;liver/biliary system;mortality/aging;muscle;nervous system;normal;respiratory system;skeleton;vision/eye"
chr19	45504688	45541452	RELB	Relb	"behavior/neurological;cardiovascular system;digestive/alimentary;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;muscle;other;renal/urinary system;reproductive system;respiratory system"
chr7	103112231	103629963	RELN	Reln	"behavior/neurological;digestive/alimentary;growth/size;integument;mortality/aging;muscle;nervous system;reproductive system;vision/eye"
chr1	204123944	204135465	REN	Ren1	"behavior/neurological;cardiovascular system;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;muscle;nervous system;normal;renal/urinary system;reproductive system"
chrX	153200716	153210232	RENBP	Renbp	"homeostasis/metabolism;renal/urinary system"
chr1	2323267	2336883	RER1	Rer1	"muscle;nervous system"
chr1	8412457	8877702	RERE	Rere	"cardiovascular system;craniofacial;embryogenesis;mortality/aging;nervous system;normal;vision/eye"
chr4	57774075	57802010	REST	Rest	"cellular;embryogenesis;growth/size;mortality/aging;nervous system;no phenotypic analysis;vision/eye"
chr10	43572475	43625799	RET	Ret	"behavior/neurological;cardiovascular system;cellular;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;homeostasis/metabolism;limbs/digits/tail;mortality/aging;muscle;nervous system;no phenotypic analysis;normal;renal/urinary system;reproductive system;respiratory system;tumorigenesis"
chr19	7733930	7735334	RETN	Retn	"adipose tissue;homeostasis/metabolism;liver/biliary system"
chr3	108462271	108476231	RETNLB	Retnlb	"digestive/alimentary;homeostasis/metabolism;immune system;mortality/aging"
chr2	100016938	100106497	REV1	Rev1	"growth/size;hematopoietic system;immune system;mortality/aging;normal"
