## id.devdelay.genes
## ID genes from OMIM, HUGO, multiple reviews; DD genes from DECIPHER
## hg19, source=gm.id_devdelay created=10JUL2015:19:02:49
## PGC bioinformatics, PF Sullivan & Johan Kallberg, Karolinska Institutet, (c) 2016
## Rows: 5 comments, header, 1518 entries. Columns: 5
#chr	bp1	bp2	geneName	type
chr11	113930315	114121398	ZBTB16	"intellectual disability // developmental delay"
chr1	244214585	244220778	ZBTB18	"intellectual disability"
chr3	114056941	114866118	ZBTB20	"developmental delay"
chr1	22778344	22857650	ZBTB40	"intellectual disability // developmental delay"
chrX	64136250	64254593	ZC4H2	"developmental delay"
chr12	122957417	122985518	ZCCHC8	"intellectual disability // developmental delay"
chrX	74588262	74743337	ZDHHC15	"intellectual disability // developmental delay"
chrX	128937264	128977885	ZDHHC9	"intellectual disability // developmental delay"
chr10	31607424	31818742	ZEB1	"developmental delay"
chr2	145141648	145282147	ZEB2	"intellectual disability // developmental delay"
chr6	29640169	29648887	ZFP57	"developmental delay"
chr8	106330920	106816760	ZFPM2	"developmental delay"
chr14	68194091	68283307	ZFYVE26	"developmental delay"
chr13	100634026	100639018	ZIC2	"intellectual disability // developmental delay"
chrX	136648301	136659850	ZIC3	"developmental delay"
chr1	40723779	40759856	ZMPSTE24	"developmental delay"
chr1	35449523	35497569	ZMYM6	"intellectual disability // developmental delay"
chr3	50378541	50384283	ZMYND10	"developmental delay"
chr10	180405	300577	ZMYND11	"intellectual disability"
chrX	47305278	47342345	ZNF41	"intellectual disability"
chr19	42724423	42732353	ZNF526	"intellectual disability // developmental delay"
chr19	35248981	35264134	ZNF599	"developmental delay"
chrX	46357162	46404892	ZNF674	"intellectual disability"
chrX	84498997	84528368	ZNF711	"intellectual disability // developmental delay"
chr7	55955169	56009918	ZNF713	"developmental delay"
chr17	80787311	80798454	ZNF750	"developmental delay"
chrX	47696301	47861960	ZNF81	"intellectual disability"
chr5	60628100	60841997	ZSWIM6	"developmental delay"
